qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
TRINITY_DN10107_c0_g2_i1.p1	378.741457917	0.574938760711	1	8	0.743809880777	0.00435444255988	0.000272152659993	Rac-like GTP-binding protein ARAC10	
TRINITY_DN10107_c0_g2_i1.p1	378.679761267	0.574845104298	1	10	0.743767553957	0.0043178359571	0.000359819663091	Rac-like GTP-binding protein ARAC9	
TRINITY_DN10107_c0_g2_i1.p1	371.986510058	0.592246446885	1	11	0.741160436466	0.00444857382419	0.000404415802199	Rac-like GTP-binding protein ARAC5	
TRINITY_DN10107_c0_g2_i1.p1	336.0839785	1.88840675053	3	137	0.732625057309	0.0154532158901	6.30743505717e-05	Rho-related GTP-binding protein RhoG	
TRINITY_DN10107_c0_g2_i1.p1	347.199927799	0.687201347561	1	17	0.730411826415	0.00289017844847	3.03590173159e-06	Rho-related protein racA	
TRINITY_DN10107_c0_g2_i1.p1	332.056250584	1.26521934271	2	63	0.728811478593	0.0112974948881	6.53034386598e-05	Rac-like GTP-binding protein RAC2	
TRINITY_DN10107_c0_g2_i1.p1	318.185178569	1.65219033214	3	117	0.723860194795	0.0124235837167	8.11998935731e-05	Rho-related GTP-binding protein RhoU	
TRINITY_DN10107_c0_g2_i1.p1	286.813173206	1.16829125335	2	72	0.709485150651	0.00897907671175	4.85355497932e-05	Rho-related GTP-binding protein RhoJ	
TRINITY_DN10107_c0_g2_i1.p1	275.949472246	0.592414842275	1	20	0.702559224736	0.00411214171288	3.648070646e-08	Ras-like GTP-binding protein RHO	
TRINITY_DN10107_c0_g2_i1.p1	272.703470242	1.75149680645	3	179	0.701355294125	0.00428994521213	1.17532745537e-05	Rac-like GTP-binding protein RHO1	
TRINITY_DN10107_c0_g2_i1.p1	267.011682654	0.573227224888	1	20	0.700067081502	0.00615548741692	5.48942770618e-09	Rac-like GTP-binding protein 2	
TRINITY_DN10107_c0_g2_i1.p1	239.608996324	0.597679274975	1	27	0.688242971772	0.00452178702976	0.00014130584468	Rac-like GTP-binding protein ARAC3	
TRINITY_DN10107_c0_g2_i1.p1	239.159166889	0.574037113474	1	25	0.687962136182	0.00433178132959	0.000131266100897	Rac-like GTP-binding protein ARAC8	
TRINITY_DN10107_c0_g2_i1.p1	232.260812916	0.589981669656	1	28	0.685257212319	0.0044346284517	0.000126703670049	Rac-like GTP-binding protein ARAC1	
TRINITY_DN10107_c0_g2_i1.p1	191.108296153	0.572926237014	1	39	0.676033202726	0.0180941208053	1.18877880229e-08	Rac-like GTP-binding protein 3	
TRINITY_DN10107_c0_g2_i1.p1	195.728088766	0.586775628198	1	39	0.670620321166	0.00439104916267	9.14801908889e-05	Rac-like GTP-binding protein RAC13	
TRINITY_DN10107_c0_g2_i1.p1	191.057463721	0.594396075538	1	42	0.668874041719	0.00462463415187	6.49038666379e-09	Rac-like GTP-binding protein 7	
TRINITY_DN10107_c0_g2_i1.p1	155.689139782	0.578930610367	1	60	0.654506799794	0.00420801614874	4.47661292419e-05	Rac-like GTP-binding protein ARAC7	
TRINITY_DN10107_c0_g2_i1.p1	138.061420266	0.592809174561	1	80	0.647613724224	0.00450784165727	1.95450358386e-09	Rac-like GTP-binding protein 5	
TRINITY_DN10116_c0_g1_i1.p1	4.16660200195e-15	0.518310768572	1	5	0.678077183619	0.166183294663	1.87236124503e-06	Poly(U)-specific endoribonuclease homolog	
TRINITY_DN10125_c0_g1_i1.p1	543.883421096	66.1082679669	100	52297	0.916653864576	0.205849086769	2.40074932359e-05	Elongation factor 1-alpha	
TRINITY_DN10132_c0_g1_i1.p1	1124.76416744	1.19182561811	2	29	1.18648947024	0.276572609222	1.60187040184e-05	Homocitrate dehydratase, mitochondrial	
TRINITY_DN10132_c0_g1_i1.p1	735.832359931	8.28847548174	13	3277	0.99680812838	0.21221646384	2.29286037637e-05	Aconitate hydratase, mitochondrial	
TRINITY_DN10146_c0_g1_i1.p1	1784.94617505	3.15936749422	6	245	1.54486794859	0.454508152467	7.8881417202e-06	Glutathione S-transferase omega-1	
TRINITY_DN10146_c0_g1_i1.p1	586.746082917	0.563001035668	1	72	0.908869742271	0.15879494655	0.000499371638359	Pyrimidodiazepine synthase	
TRINITY_DN10175_c0_g2_i1.p1	1118.78063695	2.22488745163	4	495	1.4612506865	0.799505684626	2.09431744499e-05	Sorting nexin-4	SNX4
TRINITY_DN10241_c0_g1_i1.p1	1720.64222953	9.044287541	15	783	1.43543268012	0.296556958142	3.00247195257e-05	40S ribosomal protein S10	
TRINITY_DN10326_c0_g1_i1.p1	2658.84829981	38.5964272403	68	1124	1.73406887387	0.151938888088	9.71630895719e-05	26S proteasome regulatory subunit 8	
TRINITY_DN10326_c0_g1_i1.p1	633.020450022	11.7925677461	20	1851	0.871580904186	0.0535331347073	8.13913637269e-06	Proteasome-activating nucleotidase	
TRINITY_DN10367_c0_g2_i1.p1	1197.67816905	1.62798969159	3	324	1.16836604407	0.187347931874	1.86279992954e-05	Ribonuclease P protein subunit p20	POP7
TRINITY_DN1036_c0_g1_i1.p1	2410.19138721	3.27192874464	6	160	1.58706752147	0.0622467583111	9.23428158631e-06	Eukaryotic translation initiation factor 4E type 3	EIF4E3
TRINITY_DN10391_c0_g2_i1.p1	7680.26618906	3.73036471412	6	8	3.79770327764	0.255842962185	1.60298781572e-06	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4	PIN4
TRINITY_DN10391_c0_g2_i1.p1	4756.67837762	2.31035564126	4	8	2.66406735331	0.323348870798	0.00105503676938	Peptidyl-prolyl cis-trans isomerase pin4	PIN4
TRINITY_DN10411_c0_g1_i1.p1	2012.6476757	7.2261258028	12	458	1.60031422221	0.387230695086	0.00114417687198	Alpha-soluble NSF attachment protein	
TRINITY_DN10468_c0_g1_i1.p1	1607.40157057	1.52286505674	3	179	1.36533778033	0.249767701171	1.35239765511e-05	39S ribosomal protein L32, mitochondrial	MRPL32
TRINITY_DN10502_c0_g1_i1.p1	664.705032138	7.15230655127	10	3500	1.27953224663	0.799339284269	2.06554937552e-05	Ubiquitin	
TRINITY_DN10508_c0_g1_i1.p1	1578.21661107	8.64650904115	13	456	1.42916388785	0.392150853185	0.00186456172297	SUMO-conjugating enzyme UBC9	
TRINITY_DN10508_c0_g1_i1.p1	672.192169461	7.2495406079	13	1767	0.93428008238	0.142269978021	6.31221921953e-06	Ubiquitin-conjugating enzyme E2 B	
TRINITY_DN10508_c0_g1_i1.p1	246.105882725	0.599018230662	1	90	0.820617565922	0.249385109301	5.52451204971e-05	SUMO-conjugating enzyme SCE1	
TRINITY_DN10519_c0_g1_i1.p1	2.15996561338e-13	0.535189234648	1	72	0.722133613859	0.249279123414	0.00078392245454	Pyrimidodiazepine synthase	
TRINITY_DN10547_c0_g1_i1.p1	1.76627850602e-09	0.60350708405	1	6511	0.59295324702	0.00557216399649	5.04671515473e-09	Glucose-6-phosphate isomerase (Fragment)	
TRINITY_DN10558_c0_g1_i1.p1	1153.69890215	12.2856633308	22	2549	1.10312150012	0.0974368481506	2.04868982361e-05	Ubiquitin-conjugating enzyme E2	
TRINITY_DN10581_c0_g2_i1.p1	1248.09644249	4.01186084972	7	696	1.19454398305	0.198689097075	9.23026263675e-06	Multifunctional methyltransferase subunit TRM112 homolog A	
TRINITY_DN10593_c0_g2_i1.p1	2975.32894206	1.03372285888	2	35	1.82431144087	0.083302587564	0.0014746317797	Xylosyltransferase oxt	OXT
TRINITY_DN10594_c0_g1_i1.p1	1218.78093368	19.8846747715	37	3588	1.13096241206	0.100849022634	2.82973435726e-06	Peptidyl-prolyl cis-trans isomerase B	
TRINITY_DN10594_c0_g1_i1.p1	1205.69071595	1.03847798531	2	3	1.08812332091	0.029899691358	9.90547999272e-06	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	
TRINITY_DN10594_c0_g1_i1.p1	586.838049377	0.505452387711	1	2	0.833399321673	0.0163470017637	9.5493846336e-06	Photosynthetic NDH subunit of lumenal location 5, chloroplastic	
TRINITY_DN10596_c0_g2_i1.p1	1554.92014407	2.88134717191	5	143	1.24818036958	0.0683250760817	1.08123554396e-06	N-alpha-acetyltransferase	
TRINITY_DN10596_c0_g2_i1.p1	1134.80371848	1.7496775299	3	99	1.12900276064	0.160530605362	2.62040871718e-06	N-alpha-acetyltransferase 10	
TRINITY_DN10596_c0_g2_i1.p1	835.745031869	1.76148959558	3	185	0.980823093825	0.106648804951	6.07226490086e-05	N-terminal acetyltransferase A complex catalytic subunit ard1	
TRINITY_DN10621_c0_g1_i1.p1	957.232908923	3.45163954647	6	1014	1.03005952738	0.107861029259	9.15370017471e-07	WD repeat domain phosphoinositide-interacting protein 2	WIPI2
TRINITY_DN10627_c0_g1_i1.p1	3317.00887959	1.52635391491	3	24	2.00503177796	0.166468348405	7.36455389312e-08	Ran-binding protein 1 homolog a	
TRINITY_DN10627_c0_g1_i1.p1	862.116550989	1.08644089592	2	180	0.934846620396	0.0	0.0	Ran-specific GTPase-activating protein	
TRINITY_DN10631_c0_g2_i1.p1	404.097497454	19.8629748766	37	35079	0.801918337332	0.0948660051344	1.7781437474e-05	Uroporphyrinogen decarboxylase	HEME
TRINITY_DN10656_c0_g2_i1.p1	1815.9946988	3.74220582426	7	328	1.34717900285	0.0580775627931	7.52544195865e-07	AN1-type zinc finger protein 6	
TRINITY_DN10661_c0_g2_i1.p1	1014.57348136	1.02631130428	2	301	1.06644621937	0.133231005372	0.000219698893358	ATP-dependent rRNA helicase rrp3	RRP3
TRINITY_DN10689_c0_g1_i1.p1	1034.77604637	28.9162888677	46	6634	1.23933677136	0.444151103122	0.0013134080802	RNA-splicing ligase RtcB homolog	RTCB
TRINITY_DN10748_c0_g2_i1.p1	4148.64750909	1.56473769397	3	27	2.26390795645	0.0272619730428	5.35496165512e-06	Mitochondrial inner membrane protease ATP23 homolog	ATP23
TRINITY_DN10758_c0_g1_i1.p1	1772.06027532	1.68955242485	3	148	1.47529234724	0.332957619477	3.49394102596e-05	28S ribosomal protein S21, mitochondrial	MRPS21
TRINITY_DN10759_c0_g2_i1.p1	1064.34033263	48.8602124877	95	12336	1.08427035791	0.12929519783	0.000388500401614	Iron-sulfur cluster insertion protein ErpA	ERPA
TRINITY_DN10759_c0_g2_i1.p1	536.846656184	2.57806007419	5	135	0.849444528336	0.084349837706	2.25939098982e-05	Iron-sulfur cluster assembly 2 homolog, mitochondrial	ERPA
TRINITY_DN10807_c0_g1_i1.p1	1286.0266344	1.7354157285	3	281	1.21786153283	0.214058258905	9.24729340753e-08	Thioredoxin-like protein 1	TXNL1
TRINITY_DN10815_c0_g1_i1.p1	1102.72385649	2.59552906043	5	637	1.20769718442	0.333220830943	3.00710799334e-05	39S ribosomal protein L16, mitochondrial	MRPL16
TRINITY_DN10845_c1_g1_i2.p1	2583.91221017	39.2235946655	70	1117	1.69172816846	0.128606831336	8.31890278518e-05	26S proteasome regulatory subunit 7	
TRINITY_DN10845_c1_g1_i2.p1	869.477769481	17.1689704713	30	1890	0.972108340302	0.0647489383774	1.47585009031e-05	Proteasome-activating nucleotidase	
TRINITY_DN10883_c0_g1_i1.p1	1125.2918392	1.80790279193	3	367	1.17259458559	0.249957286861	2.43937878401e-05	THO complex subunit 3	THOC3
TRINITY_DN10915_c0_g1_i1.p1	1606.31984125	18.9025571429	33	1973	1.28898043072	0.106510630771	9.29956638507e-05	U1 small nuclear ribonucleoprotein C	
TRINITY_DN10986_c0_g1_i1.p1	2385.14422558	5.13023147261	9	245	1.67828697146	0.253258669158	0.000109328627315	Programmed cell death protein 10	PDCD10
TRINITY_DN1099_c1_g1_i1.p1	4331.73250228	4.18358785849	8	66	2.38801480651	0.123235724895	0.000343570351386	Dipeptidase aclJ	
TRINITY_DN11088_c0_g2_i1.p1	1599.10805503	8.81827451368	16	969	1.46431184502	0.442655747978	0.00305382902401	Sphingolipid delta(4)-desaturase DES1	
TRINITY_DN11225_c0_g1_i1.p1	1426.91181179	2.10107513699	4	107	1.23408882496	0.138347152744	5.46458394551e-06	Mitochondrial basic amino acids transporter	
TRINITY_DN11225_c0_g1_i1.p1	1258.16896528	3.48207364591	6	378	1.11558490415	0.0421081200779	7.20019888035e-07	Mitochondrial carnitine/acylcarnitine carrier protein	
TRINITY_DN1127_c0_g1_i1.p1	1665.15279051	1.20673280277	2	16	1.31461056144	0.110470479705	4.54957394332e-06	RING-box protein 1b	
TRINITY_DN1127_c0_g1_i1.p1	967.919147521	0.656145754249	1	14	1.00731555934	0.0568784594096	0.000115842076191	RING-box protein pip1	
TRINITY_DN1127_c0_g1_i1.p1	615.982325429	1.98072169756	3	315	0.935538745902	0.187067573801	8.08129875867e-08	RING-box protein 1	
TRINITY_DN1127_c0_g1_i1.p1	707.884526875	0.587718833697	1	21	0.898768693988	0.0482875922509	0.00112296726165	RING-box protein HRT1	
TRINITY_DN1127_c0_g1_i1.p1	520.435819157	1.30652469477	2	192	0.867695928125	0.131169280443	9.40913528962e-05	E3 ubiquitin-protein ligase RBX1	
TRINITY_DN1127_c0_g1_i1.p1	507.350712739	1.30318563913	2	201	0.862842081551	0.131889990775	5.06723493065e-06	RING-box protein 1A	
TRINITY_DN1127_c0_g1_i1.p1	565.804606762	1.06531310116	2	108	0.854275025873	0.0716097785978	2.55444728285e-08	RING-box protein 2	
TRINITY_DN11298_c0_g1_i1.p1	724.208069068	1.68683537602	3	886	1.14439714979	0.499459576308	1.73360698871e-05	Translation machinery-associated protein 20	TMA20
TRINITY_DN11480_c0_g1_i1.p1	1225.12184619	5.15633479563	9	927	1.36899729686	0.545185914799	1.17707518794e-06	Very-long-chain enoyl-CoA reductase	
TRINITY_DN11499_c0_g2_i1.p1	3.26661558999e-14	0.538780338977	1	28	0.678223411874	0.166459163346	2.76501537493e-06	Interferon regulatory factor 2-binding protein 2-A	
TRINITY_DN114_c0_g2_i1.p1	1021.09055954	3.70523883623	7	1040	1.03083695702	0.0611232458942	0.000270643914344	Anamorsin homolog	
TRINITY_DN11507_c0_g1_i1.p1	1437.22117468	1.11227370964	2	150	1.19516583704	0.0571270696426	1.01306565275e-06	WD repeat and FYVE domain-containing protein 2	WDFY-2
TRINITY_DN11625_c0_g1_i1.p1	582.843162823	2.10186183064	4	1824	0.999728373393	0.333186890431	0.000102816753055	Mannose-P-dolichol utilization defect 1 protein homolog	MPDU1
TRINITY_DN11637_c0_g1_i1.p1	1963.83126477	7.1832759009	14	562	1.37553250591	0.0	0.0	Caspase-3	CASP3
TRINITY_DN11690_c0_g1_i1.p1	1388.62556019	2.48741884288	5	335	1.27921673413	0.252389380531	6.91853929425e-06	Ras-related and estrogen-regulated growth inhibitor	
TRINITY_DN11690_c0_g1_i1.p1	543.272912913	0.495929255	1	87	0.812557827703	0.00990307627476	1.60559394871e-06	Ras-like protein family member 11B	
TRINITY_DN11724_c0_g4_i1.p1	2715.62232159	4.37633580351	8	168	1.73044881989	0.102262443439	3.9811338053e-05	MAP kinase-interacting serine/threonine-protein kinase 2	MKNK2
TRINITY_DN1172_c0_g1_i1.p1	772.755513214	5.55222980774	9	2166	1.09600345985	0.371486634436	0.000666915435366	U6 snRNA-associated Sm-like protein LSm4	LSM4
TRINITY_DN1172_c0_g1_i1.p1	1049.42163294	0.512321791681	1	4	1.01171174278	0.00366620483854	5.2087837992e-08	Probable small nuclear ribonucleoprotein Sm D1	LSM4
TRINITY_DN11789_c0_g1_i1.p1	1031.85959371	1.01154894146	2	291	1.00274383748	0.0	0.0	Syntaxin-16	STX16
TRINITY_DN11898_c0_g1_i1.p1	3948.36716751	19.0307742743	34	329	2.24116314349	0.135501745989	1.75556917596e-05	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	
TRINITY_DN11898_c0_g1_i1.p1	619.196012922	0.520318995799	1	8	0.84082895031	0.0059444242891	1.34030743004e-08	3-isopropylmalate dehydrogenase, chloroplastic	
TRINITY_DN12029_c0_g2_i1.p1	540.057314876	1.50894057628	3	1592	0.81733713124	0.02134736648	5.05277295057e-06	Exosome complex component Rrp41	
TRINITY_DN12073_c0_g1_i1.p1	3195.71805684	10.6863484168	18	273	1.90664751042	0.0723773161941	1.55048360958e-05	NADH-cytochrome b5 reductase 2	
TRINITY_DN12110_c0_g1_i1.p1	1938.76725722	4.57288376476	8	329	1.47613691967	0.208732718453	8.37999713918e-05	SPRY domain-containing SOCS box protein 1	
TRINITY_DN12153_c0_g1_i1.p1	1326.75855658	1.05792244782	2	176	1.23841130828	0.222085310003	0.00013356751638	Threonine aspartase 1	TASP1
TRINITY_DN12175_c0_g1_i1.p2	5641.67414051	10.0586980646	15	73	2.85773688796	0.0208808296458	1.96023980952e-05	Histone H3, embryonic	
TRINITY_DN12197_c0_g1_i1.p1	1209.13158512	21.2235024905	34	3596	1.20216369859	0.242451005853	0.00060157206219	ER lumen protein-retaining receptor	
TRINITY_DN12234_c0_g1_i1.p1	7919.60770332	3.86851409932	7	12	3.89797021864	0.264276557913	0.00302808109414	Parkinson disease protein 7 homolog	PARK7
TRINITY_DN12234_c0_g1_i1.p1	1281.5173313	0.571445217472	1	9	1.12196991913	0.036533928793	2.17606342206e-07	Glutathione-independent glyoxalase DJR-1.1	PARK7
TRINITY_DN12234_c0_g1_i1.p1	920.93627972	1.10953701074	2	73	0.991986895004	0.0634192063295	1.01880661058e-05	Protein/nucleic acid deglycase DJ-1	PARK7
TRINITY_DN12279_c0_g1_i1.p1	12020.7381204	10.6964189527	17	18	5.45737238386	0.11144184851	0.000647799460506	UPF0735 ACT domain-containing protein YszB	
TRINITY_DN1230_c0_g1_i1.p1	2366.58504229	6.84369152668	11	38	1.59888081465	0.117446699805	2.34196770671e-06	Probable acetyl-CoA acyltransferase	
TRINITY_DN1230_c0_g1_i1.p1	793.669897181	7.71174580398	14	429	0.977500666377	0.132137040917	3.79090909497e-06	Acetyl-CoA acetyltransferase, mitochondrial	
TRINITY_DN1230_c0_g1_i1.p1	469.182657521	28.0376538385	49	16222	0.867111379646	0.168746832365	0.000124774206721	3-ketoacyl-CoA thiolase	
TRINITY_DN1230_c0_g1_i1.p1	434.510772169	2.90425915791	5	203	0.788405681017	0.0464174711812	5.62116440008e-06	Acetyl-CoA acetyltransferase, cytosolic	
TRINITY_DN1230_c0_g1_i1.p1	117.11618536	12.2250585476	20	49378	0.754815811591	0.222583529362	3.34427936207e-06	Acetyl-CoA acetyltransferase	
TRINITY_DN1230_c0_g1_i1.p1	69.0926617781	0.596897578342	1	339	0.622925011469	0.00997615727682	2.9170050517e-05	Beta-ketothiolase BktB	
TRINITY_DN12315_c0_g2_i1.p1	2564.49118305	31.7553755637	50	565	1.68905467537	0.138221740506	3.3984046854e-05	Eukaryotic initiation factor 4A-III	
TRINITY_DN12315_c0_g2_i1.p1	1981.01725891	18.803964478	28	332	1.45167352499	0.130612183984	0.00210819567167	ATP-dependent RNA helicase FAL1	
TRINITY_DN12315_c0_g2_i1.p1	1373.90915864	14.2069219096	22	394	1.17555253549	0.0678898327437	0.000363034066048	ATP-dependent RNA helicase eIF4A	
TRINITY_DN12379_c0_g2_i1.p1	2723.81539782	18.9434214004	32	645	1.89601383518	0.408222674122	0.00648293834509	ATPase ASNA1 homolog	
TRINITY_DN12379_c0_g2_i1.p1	678.002675362	0.587127278182	1	3	0.993756915827	0.25008201928	0.00061877318609	ATPase ARSA2	
TRINITY_DN1245_c0_g1_i1.p1	624.066418445	66.9786524746	100	39736	0.899305268461	0.112601235024	2.32601379928e-06	ATP synthase subunit alpha	ATPA
TRINITY_DN12460_c0_g1_i1.p1	1956.77717158	17.2954092894	32	1254	1.44511929993	0.136619269548	1.0921948132e-05	Guanine nucleotide-binding protein alpha-2 subunit	
TRINITY_DN12460_c0_g1_i1.p1	577.339128353	0.539181675363	1	14	0.860365746577	0.0743963942855	3.13240701052e-07	G protein alpha q subunit	
TRINITY_DN12490_c0_g1_i1.p1	8.16653971297e-15	0.534172809267	1	14	0.678226252651	0.166462668299	5.19226203129e-05	NPC intracellular cholesterol transporter 2 homolog a	
TRINITY_DN12497_c0_g1_i1.p1	5.99990680536e-15	0.519417829034	1	12	0.59138064103	0.00260498125747	4.81627483645e-08	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (Fragment)	
TRINITY_DN12509_c0_g1_i1.p1	3004.63935167	10.8810731569	20	343	1.92722425195	0.255409373899	7.71555445296e-05	Alpha-endosulfine	
TRINITY_DN1255_c0_g1_i1.p1	5954.62968386	1.64384017717	3	6	3.10694070027	0.254836193448	0.001282210058	mRNA turnover protein 4 homolog	MRTO4
TRINITY_DN1255_c0_g1_i1.p1	127.523072811	0.529027663221	1	2258	0.656584751637	0.029387675507	2.72469190889e-06	Ribosome assembly factor mrt4	MRTO4
TRINITY_DN12567_c0_g1_i1.p1	1476.95256798	1.93317850543	4	284	1.18078102719	0.0	0.0	Synaptotagmin-8	SYT11
TRINITY_DN12578_c0_g1_i1.p1	2126.81108532	0.995025660064	2	25	1.49130907493	0.0954216035891	0.000559545037536	E3 ubiquitin-protein ligase RZFP34	
TRINITY_DN12578_c0_g1_i1.p1	802.591529542	1.09344975629	2	212	0.976853438545	0.124182429212	6.96230714135e-06	RING finger and CHY zinc finger domain-containing protein 1	
TRINITY_DN12629_c1_g1_i1.p1	2113.47502405	11.2988442674	19	658	1.55455987307	0.224847591273	3.20035302503e-05	60S ribosomal protein L22	RPL22
TRINITY_DN1263_c0_g1_i1.p1	1167.28426231	3.4353723214	6	682	1.23354783099	0.333270574059	3.60906827234e-05	39S ribosomal protein L15, mitochondrial	MRPL15
TRINITY_DN12690_c0_g1_i1.p1	4928.26895995	6.3087177175	11	70	2.97766906438	0.785583768391	0.000104157433283	Tyrosine--tRNA ligase, cytoplasmic	YARS1
TRINITY_DN12719_c0_g1_i1.p1	1588.36574965	2.80511060965	5	307	1.31366417688	0.166629800035	0.000204150190324	Mitotic checkpoint protein BUB3	BUB3
TRINITY_DN12755_c0_g1_i1.p1	1699.95568089	2.80546039772	5	189	1.49538599747	0.425186510353	0.00274373145483	Transmembrane protein 50B	TMEM50B
TRINITY_DN12755_c0_g1_i1.p1	584.889658246	1.14727343425	2	267	0.995959213718	0.324528014616	0.000175133655014	Transmembrane protein 50A	TMEM50B
TRINITY_DN12825_c0_g1_i1.p1	4.16660200195e-15	0.509610108682	1	9	0.606007841222	0.0302034475547	7.0091880136e-07	Probable prefoldin subunit 3	
TRINITY_DN12825_c0_g2_i1.p1	799.358179134	5.10652178868	9	2178	1.05426294399	0.272676477958	5.69510029505e-05	Prefoldin subunit 3	
TRINITY_DN12885_c0_g1_i1.p1	673.467633712	26.1825522441	47	16046	1.00010952447	0.265513669699	1.13023732773e-05	Methylthioribose-1-phosphate isomerase	MTNA
TRINITY_DN12892_c0_g1_i1.p1	1713.4809521	2.12968379235	4	211	1.28056175941	0.00975353151741	3.43471993765e-07	Copper chaperone for superoxide dismutase	CCS
TRINITY_DN12903_c0_g1_i1.p1	191.691769472	5.50810434597	10	42141	0.736074245488	0.130938659044	2.42030366469e-06	Nucleoside diphosphate kinase	
TRINITY_DN12957_c0_g1_i1.p1	541.649364798	2.20636732707	4	2112	0.883916381826	0.145766354191	2.3409251445e-05	General transcription factor IIE subunit 2	GTF2E2
